Name,Price,Brand,Classificaation,Region,Style,Size
Happy Father's Day (Green)  6x3cl Whisky Gift Set,£30.00,William Foulds and Co,Scotch Whisky,Scotland,Single Malt,6x3cl
Mossburn Auchroisk 2007 14 Year Old,£58.95,,Scotch Whisky,,Single Malt,70cl
Mortlach 1978 Private Collection,"£2,099.00",,Scotch Whisky,,Single Malt,70cl
Scapa Glansa,£46.00,,Scotch Whisky,Scotland,Single Malt,70cl
Tomatin 18 Year Old,£94.95,,Scotch Whisky,,Single Malt,70cl
Glenlivet 1976 Private Collection,"£2,349.00",,Scotch Whisky,,Single Malt,70cl
Mossburn Macduff 2007 14 Year Old,£72.95,,Scotch Whisky,,Single Malt,70cl
Longmorn 18 Year Old,£85.00,,Scotch Whisky,,Single Malt,70cl
Kingsbarns Distillery Reserve,£55.00,Kingsbarns,Scotch Whisky,,Single Malt,70cl
Mossburn Craigellachie 2007 13 Year Old,£64.95,,Scotch Whisky,,Single Malt,70cl
Glenlivet 1978 Private Collection,"£2,099.00",,Scotch Whisky,,Single Malt,70cl
Ballantine's Finest,£23.00,Ballantine's,Scotch Whisky,Scotland,Blended Malt,70cl
Chivas Regal 12 Year Old 4.5 Litre,£219.00,,Scotch Whisky,,Single Malt,450cl
Longmorn 23 Year Old,£399.00,,Scotch Whisky,,Single Malt,70cl
The Octave An Iconic Speyside 2010 11 Year Old #2933337,£99.00,,Scotch Whisky,,Single Malt,70cl
Benriach Tasting Triple Pack,£19.00,,Scotch Whisky,,Single Malt,3x5cl
River Rock Single Malt,£35.00,River Rock,Scotch Whisky,,Single Malt,70cl
Tomatin 12 Year Old,£42.00,,Scotch Whisky,,Single Malt,70cl
Tomatin 14 Year Old,£63.00,,Scotch Whisky,,Single Malt,70cl
Benromach 2012 #350 First Fill Sherry,£88.00,,Scotch Whisky,,Single Malt,70cl
Strathisla 2008 13 Year Old Connoisseurs Choice UK Exclusive 21/184,£99.00,Strathisla,Scotch Whisky,,Single Malt,70cl
Caol Ila Distillers Edition 2021,£70.00,,Scotch Whisky,,Single Malt,70cl
The Octave Dalmunach 2016 5 Year Old #10831623,£80.00,Dalmunach,Scotch Whisky,,Single Malt,70cl
The Octave Highland Park 2008 13 Year Old #5032247,£135.00,,Scotch Whisky,,Single Malt,70cl
The Octave Dalmunach 2015 6 Year Old #10831766,£80.00,Dalmunach,Scotch Whisky,,Single Malt,70cl
Aberlour A’bunadh Alba,£85.00,,Scotch Whisky,,Single Malt,70cl
Talisker Distillers Edition 2021,£60.00,,Scotch Whisky,,Single Malt,70cl
Oban Distillers Edition 2021,£84.00,,Scotch Whisky,,Single Malt,70cl
Dalwhinnie Distillers Edition 2021,£68.00,,Scotch Whisky,,Single Malt,70cl
Benromach Cara Gold,£50.00,,Scotch Whisky,,Single Malt,70cl
John Scott’s Superior Blend 35 Year Old,£750.00,,Scotch Whisky,,Blend,70cl
Michter's Barrel Strength Rye L21B469,£125.00,Michter's,Scotch Whisky,,,70cl
Wemyss Malts Smoky Shores Blended Malt,£41.00,Wemyss Malts,Scotch Whisky,Scotland,Blended Malt,70cl
Tomatin Cask Strength,£50.95,,Scotch Whisky,,Single Malt,70cl
